CSC100041,4,50,Cau truc du lieu va giai thuat,Thong,TUE,S2,FRI,S1,30/05,24/08
CSC100042,4,50,Cau truc du lieu va giai thuat,Tin,TUE,S2,SAT,S1,30/05,24/08
CSC130021,4,50,Nhap mon cong nghe phan mem,Quang,MON,S3,WED,S4,30/05,24/08
CSC130022,4,50,Nhap mon cong nghe phan mem,Trinh,TUE,S2,WED,S4,30/05,24/08
MTH000070,4,70,Xac suat thong ke,Duong,MON,S1,THU,S1,30/05,24/08
MTH000540,4,70,Phep tinh vi tu,Khoa,WED,S3,SAT,S2,30/05,24/08
PHY000060,4,70,Vat li dai cuong 2,Yen,WED,S2,FRI,S2,30/05,24/08
BAA000220,2,100,The duc 2,Nhi,THU,S3,FRI,S3,30/05,24/08
CSC100091,4,50,He thong may tinh,Anh,MON,S4,THU,S2,30/05,24/08
CSC100092,4,50,He thong may tinh,Khai,MON,S4,WED,S1,30/05,24/08
GEO000020,2,100,Khoa hoc trai dat,Hai,TUE,S2,THU,S3,30/05,24/08
