.,BAA001010,4,100,Triet hoc Mac Lenin,Phuong,MON,S3,WED,S1,17/01,27/05
.,BAA001020,2,90,Kinh te chinh tri Mac-Lenin,Quan,MON,S1,WED,S1,17/01,27/05
.,CSC100021,4,50,Ky thuat lap trinh,Sang,TUE,S3,SAT,S1,17/01,27/05
.,CSC100022,4,50,Ky thuat lap trinh,Dung,TUE,S3,FRI,S3,17/01,27/05
.,MTH000051,4,70,Vi tich phan 1,Van,WED,S1,THU,S3,17/01,27/05
.,MTH000052,4,70,Vi tich phan 1,Thanh,MON,S3,TUE,S1,17/01,27/05
.,PHY000050,4,70,Vat li dai cuong 1,Thu,WED,S2,SAT,S1,17/01,27/05
.,BAA000300,4,100,Giao duc quoc phong,Tuan,TUE,S3,WED,S3,17/01,27/05
.,CSC130020,4,50,Nhap mon cong nghe phan mem,Kien,MON,S3,WED,S4,17/01,27/05
.,CSC100031,4,50,Phuong phap lap trinh huong doi tuong,Thanh,TUE,S1,THU,S2,17/01,27/05
.,CSC100032,4,50,Phuong phap lap trinh huong doi tuong,Cong,TUE,S1,THU,S3,17/01,27/05
