BAA001010,3,90,Triet  hoc Mac-Lenin,Phuong,THU,S1,SAT,S1,17/01,27/05
BAA001020,2,90,Kinh te chinh tri Mac-Lenin,Quan,MON,S1,WED,S1,17/01,27/05
CSC100021,4,50,Ky thuat lap trinh,Tien,WED,S3,SAT,S1,17/01,27/05
CSC100022,4,50,Ky thuat lap trinh,Dung,WED,S3,FRI,S3,17/01,27/05
MTH000051,4,70,Vi tich phan 1,Van,TUE,S1,THU,S3,17/01,27/05
MTH000052,4,70,Vi tich phan 1,Chanh,MON,S3,TUE,S1,17/01,27/05
PHY000050,4,70,Vat li dai cuong 1,Thu,WED,S3,SAT,S1,17/01,27/05
BAA000300,4,100,Giao duc quoc phong,Tuan,TUE,S3,WED,S3,17/01,27/05
CHE000010,3,70,Hoa dai cuong 1,Mai,WED,S1,FRI,S2,17/01,27/05
BIO000010,3,70,Sinh dai cuong 1,Vu,MON,S3,THU,S2,17/01,27/05
CSC100030,4,50,Phuong phap lap trinh huong doi tuong,Nhan,THU,S3,SAT,S2,17/01,27/05
