BAA000210,2,100,The duc 1,Thai,TUE,S4,THU,S4,15/09,22/12
BAA000050,2,70,Kinh te dai cuong,Minh,MON,S3,WED,S2,15/09,22/12
MTH000090,4,70,Toan roi rac,Hop,TUE,S1,SAT,S3,15/09,22/12
CSC100011,4,50,Nhap mon lap trinh,Hoang,WED,S1,FRI,S1,15/09,22/12
CSC100012,4,50,Nhap mon lap trinh,Nam,MON,S2,FRI,S1,15/09,22/12
CSC000040,4,50,Nhap mon Cong nghe thong tin,Ha,TUE,S3,THU,S1,15/09,22/12
CSC140031,4,50,Co so tri tue nhan tao,Dien,MON,S1,THU,S2,15/09,22/12
CSC140032,4,50,Co so tri tue nhan tao,Thuy,MON,S1,WED,S3,15/09,22/12
CSC101010,3,50,Ky nang mem,Minh,THU,S3,FRI,S3,15/09,22/12
CSC110020,4,55,He thong vien thong,Binh,TUE,S4,SAT,S1,15/09,22/12
